iter	PairLogit	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.6930087267	0.2	0.7	0.2
1	0.6927815211	0.5	1	0.5
2	0.6925773375	0.5	1	0.5
3	0.6923744384	0.5	1	0.5
4	0.692247068	0.5	1	0.5
5	0.6921022744	0.5	1	0.5
6	0.6918773356	0.5	1	0.5
7	0.6916985738	0.5	1	0.5
8	0.6916402801	0.5	1	0.5
9	0.6915450314	0.5	1	0.5
10	0.6913585018	0.5	1	0.5
11	0.6911342205	0.5	1	0.5
12	0.6910135233	0.5	1	0.5
13	0.6907847369	0.5	1	0.5
14	0.6907265377	0.5	1	0.5
15	0.6905110411	0.5	1	0.5
16	0.6903434414	0.5	1	0.5
17	0.6901194364	0.5	1	0.5
18	0.6899490661	0.5	1	0.5
19	0.689784189	0.5	1	0.5
20	0.6896259741	0.5	1	0.5
21	0.6895468336	0.5	1	0.5
22	0.6893391319	0.5	1	0.5
23	0.6891623517	0.5	1	0.5
24	0.6889971379	0.5	1	0.5
25	0.6889835055	0.5	1	0.5
26	0.6888227561	0.5	1	0.5
27	0.6886744741	0.5	1	0.5
28	0.6885858725	0.5	1	0.5
29	0.6884077622	0.5	1	0.5
30	0.6882466612	0.5	1	0.5
31	0.6881442071	0.5	1	0.5
32	0.6880267002	0.5	1	0.5
33	0.6878563851	0.5	1	0.5
34	0.6876346428	0.5	1	0.5
35	0.6874703475	0.5	1	0.5
36	0.6872964596	0.5	1	0.5
37	0.6872366213	0.5	1	0.5
38	0.6870469538	0.5	1	0.5
39	0.6869379767	0.5	1	0.5
40	0.6868234565	0.5	1	0.5
41	0.6866091942	0.5	1	0.5
42	0.6863976236	0.5	1	0.5
43	0.6862379026	0.5	1	0.5
44	0.6860889562	0.5	1	0.5
45	0.6858809465	0.5	1	0.5
46	0.6856639878	0.5	1	0.5
47	0.6854867999	0.5	1	0.5
48	0.6852928303	0.5	1	0.5
49	0.6851273805	0.5	1	0.5
50	0.6849967063	0.5	1	0.5
51	0.6847912008	0.5	1	0.5
52	0.6846166335	0.5	1	0.5
53	0.6844933298	0.5	1	0.5
54	0.6843314972	0.5	1	0.5
55	0.6841549214	0.5	1	0.5
56	0.6840217834	0.5	1	0.5
57	0.6838717238	0.5	1	0.5
58	0.6837043282	0.5	1	0.5
59	0.6834998956	0.5	1	0.5
60	0.6833037504	0.5	1	0.5
61	0.6831684267	0.5	1	0.5
62	0.6830021216	0.5	1	0.5
63	0.6827734484	0.5	1	0.5
64	0.6825852647	0.5	1	0.5
65	0.6824706882	0.5	1	0.5
66	0.682340409	0.5	1	0.5
67	0.6821645349	0.5	1	0.5
68	0.6819778793	0.5	1	0.5
69	0.6817844609	0.5	1	0.5
70	0.6816087133	0.5	1	0.5
71	0.6815270634	0.5	1	0.5
72	0.6814184301	0.5	1	0.5
73	0.6812239424	0.5	1	0.5
74	0.6811124668	0.5	1	0.5
75	0.6809358579	0.5	1	0.5
76	0.6808855942	0.5	1	0.5
77	0.6806918419	0.5	1	0.5
78	0.6805490952	0.5	1	0.5
79	0.6804038325	0.5	1	0.5
80	0.680241598	0.5	1	0.5
81	0.6800773841	0.5	1	0.5
82	0.6799901592	0.5	1	0.5
83	0.6798696485	0.5	1	0.5
84	0.6797551326	0.5	1	0.5
85	0.6795538834	0.5	1	0.5
86	0.6794439858	0.5	1	0.5
87	0.6793735303	0.5	1	0.5
88	0.6792228639	0.5	1	0.5
89	0.6790669524	0.5	1	0.5
90	0.6788831545	0.5	1	0.5
91	0.678744611	0.5	1	0.5
92	0.6785223221	0.5	1	0.5
93	0.6783280475	0.5	1	0.5
94	0.6781237848	0.5	1	0.5
95	0.6780081253	0.5	1	0.5
96	0.6778001369	0.5	1	0.5
97	0.6776123582	0.5	1	0.5
98	0.6774892274	0.5	1	0.5
99	0.6773487621	0.5	1	0.5
100	0.6773042291	0.5	1	0.5
101	0.6771867147	0.5	1	0.5
102	0.6769947414	0.5	1	0.5
103	0.6769164903	0.5	1	0.5
104	0.6767135479	0.5	1	0.5
105	0.676640105	0.5	1	0.5
106	0.6764144417	0.5	1	0.5
107	0.6762114232	0.5	1	0.5
108	0.6760802647	0.5	1	0.5
109	0.6759274475	0.5	1	0.5
110	0.6757445537	0.5	1	0.5
111	0.6755835782	0.5	1	0.5
112	0.6755337844	0.5	1	0.5
113	0.6753358139	0.5	1	0.5
114	0.6751345951	0.5	1	0.5
115	0.6749541157	0.5	1	0.5
116	0.6747843438	0.5	1	0.5
117	0.6745957566	0.5	1	0.5
118	0.6744784006	0.5	1	0.5
119	0.6743444369	0.5	1	0.5
120	0.674133654	0.5	1	0.5
121	0.6740571888	0.5	1	0.5
122	0.67383554	0.5	1	0.5
123	0.6737305604	0.5	1	0.5
124	0.673607561	0.5	1	0.5
125	0.6734442797	0.5	1	0.5
126	0.6732925214	0.5	1	0.5
127	0.6730987232	0.5	1	0.5
128	0.6730421699	0.5	1	0.5
129	0.6728724925	0.5	1	0.5
130	0.6727325646	0.5	1	0.5
131	0.6725161428	0.5	1	0.5
132	0.6723945279	0.5	1	0.5
133	0.6721738351	0.5	1	0.5
134	0.6720733239	0.5	1	0.5
135	0.6718911774	0.5	1	0.5
136	0.6717690579	0.5	1	0.5
137	0.6715787668	0.5	1	0.5
138	0.67139794	0.5	1	0.5
139	0.671230812	0.5	1	0.5
140	0.6710652523	0.5	1	0.5
141	0.6708608966	0.5	1	0.5
142	0.6706560967	0.5	1	0.5
143	0.6705184576	0.5	1	0.5
144	0.6703335993	0.5	1	0.5
145	0.6702253461	0.5	1	0.5
146	0.6700946679	0.5	1	0.5
147	0.6699335369	0.5	1	0.5
148	0.6697564876	0.5	1	0.5
149	0.6695763962	0.5	1	0.5
150	0.6693976547	0.5	1	0.5
151	0.6691765284	0.5	1	0.5
152	0.6690738208	0.5	1	0.5
153	0.6688821949	0.5	1	0.5
154	0.6687414084	0.5	1	0.5
155	0.6686120298	0.5	1	0.5
156	0.6684724221	0.5	1	0.5
157	0.668257394	0.5	1	0.5
158	0.6680523936	0.5	1	0.5
159	0.6679517268	0.5	1	0.5
160	0.6677508472	0.5	1	0.5
161	0.6675890769	0.5	1	0.5
162	0.6674206262	0.5	1	0.5
163	0.6672536508	0.5	1	0.5
164	0.6670793441	0.5	1	0.5
165	0.6669581055	0.5	1	0.5
166	0.6667417578	0.5	1	0.5
167	0.6666344925	0.5	1	0.5
168	0.6665491544	0.5	1	0.5
169	0.6664134108	0.5	1	0.5
170	0.6663574685	0.5	1	0.5
171	0.6662166034	0.5	1	0.5
172	0.6660658076	0.5	1	0.5
173	0.6658876457	0.5	1	0.5
174	0.6658167939	0.5	1	0.5
175	0.6656335914	0.5	1	0.5
176	0.6654901479	0.5	1	0.5
177	0.6653751524	0.5	1	0.5
178	0.6653620283	0.5	1	0.5
179	0.6652204701	0.5	1	0.5
180	0.6651437158	0.5	1	0.5
181	0.6649532703	0.5	1	0.5
182	0.6647376293	0.5	1	0.5
183	0.6646056073	0.5	1	0.5
184	0.6644090686	0.5	1	0.5
185	0.6643079581	0.5	1	0.5
186	0.6640543326	0.5	1	0.5
187	0.6639424463	0.5	1	0.5
188	0.6637829597	0.5	1	0.5
189	0.6636026467	0.5	1	0.5
190	0.6634444531	0.5	1	0.5
191	0.6633186333	0.5	1	0.5
192	0.663115471	0.5	1	0.5
193	0.662979108	0.5	1	0.5
194	0.6628324593	0.5	1	0.5
195	0.6626184125	0.5	1	0.5
196	0.6624394771	0.5	1	0.5
197	0.6623091697	0.5	1	0.5
198	0.6621971893	0.5	1	0.5
199	0.6620512886	0.5	1	0.5
200	0.6618635407	0.5	1	0.5
201	0.6617433202	0.5	1	0.5
202	0.6616372501	0.5	1	0.5
203	0.66151056	0.5	1	0.5
204	0.6613169578	0.5	1	0.5
205	0.6611461193	0.5	1	0.5
206	0.6609885708	0.5	1	0.5
207	0.6608026343	0.5	1	0.5
208	0.6606315719	0.5	1	0.5
209	0.6604673039	0.5	1	0.5
210	0.6602709493	0.5	1	0.5
211	0.6602026175	0.5	1	0.5
212	0.6600214867	0.5	1	0.5
213	0.6598158029	0.5	1	0.5
214	0.6596135721	0.5	1	0.5
215	0.6594980025	0.5	1	0.5
216	0.6593642821	0.5	1	0.5
217	0.6592155642	0.5	1	0.5
218	0.6590611919	0.5	1	0.5
219	0.6588899497	0.5	1	0.5
220	0.6587268542	0.5	1	0.5
221	0.6585830964	0.5	1	0.5
222	0.6584605005	0.5	1	0.5
223	0.6582919812	0.5	1	0.5
224	0.6581379648	0.5	1	0.5
225	0.6580393088	0.5	1	0.5
226	0.6578679029	0.5	1	0.5
227	0.6577635684	0.5	1	0.5
228	0.6575775886	0.5	1	0.5
229	0.6573975237	0.5	1	0.5
230	0.6571882223	0.5	1	0.5
231	0.6570270904	0.5	1	0.5
232	0.6569292098	0.5	1	0.5
233	0.656826217	0.5	1	0.5
234	0.656647275	0.5	1	0.5
235	0.6564916357	0.5	1	0.5
236	0.6564082239	0.5	1	0.5
237	0.6562451868	0.5	1	0.5
238	0.6561155245	0.5	1	0.5
239	0.6559223322	0.5	1	0.5
240	0.6558528924	0.5	1	0.5
241	0.655746281	0.5	1	0.5
242	0.655697168	0.5	1	0.5
243	0.6556136697	0.5	1	0.5
244	0.655445515	0.5	1	0.5
245	0.6553876958	0.5	1	0.5
246	0.655215812	0.5	1	0.5
247	0.6550035013	0.5	1	0.5
248	0.6548193509	0.5	1	0.5
249	0.654641493	0.5	1	0.5
250	0.6544559649	0.5	1	0.5
251	0.6542775415	0.5	1	0.5
252	0.6541098683	0.5	1	0.5
253	0.6539458766	0.5	1	0.5
254	0.6538134451	0.5	1	0.5
255	0.6536245951	0.5	1	0.5
256	0.6534318288	0.5	1	0.5
257	0.6533147941	0.5	1	0.5
258	0.65317063	0.5	1	0.5
259	0.6530480876	0.5	1	0.5
260	0.652853088	0.5	1	0.5
261	0.6526860016	0.5	1	0.5
262	0.6524680801	0.5	1	0.5
263	0.6522816584	0.5	1	0.5
264	0.6521125379	0.5	1	0.5
265	0.6519694599	0.5	1	0.5
266	0.6518112987	0.5	1	0.5
267	0.6516483533	0.5	1	0.5
268	0.6515003041	0.5	1	0.5
269	0.6513787178	0.5	1	0.5
270	0.6512180775	0.5	1	0.5
271	0.6510156616	0.5	1	0.5
272	0.6508693128	0.5	1	0.5
273	0.6507050238	0.5	1	0.5
274	0.650546999	0.5	1	0.5
275	0.6503444908	0.5	1	0.5
276	0.6501972174	0.5	1	0.5
277	0.6500887196	0.5	1	0.5
278	0.6499829312	0.5	1	0.5
279	0.6498821569	0.5	1	0.5
280	0.6497008506	0.5	1	0.5
281	0.6495440084	0.5	1	0.5
282	0.6494316169	0.5	1	0.5
283	0.6493767709	0.5	1	0.5
284	0.6491850806	0.5	1	0.5
285	0.6490307436	0.5	1	0.5
286	0.6488680346	0.5	1	0.5
287	0.6487090397	0.5	1	0.5
288	0.6485260484	0.5	1	0.5
289	0.6483207138	0.5	1	0.5
290	0.6482443831	0.5	1	0.5
291	0.6481523317	0.5	1	0.5
292	0.648040061	0.5	1	0.5
293	0.647848805	0.5	1	0.5
294	0.6476467304	0.5	1	0.5
295	0.6475232901	0.5	1	0.5
296	0.6473508744	0.5	1	0.5
297	0.6472394807	0.5	1	0.5
298	0.6471673768	0.5	1	0.5
299	0.646977058	0.5	1	0.5
300	0.646907207	0.5	1	0.5
301	0.6467704904	0.5	1	0.5
302	0.6465799514	0.5	1	0.5
303	0.6464603792	0.5	1	0.5
304	0.64630348	0.5	1	0.5
305	0.6462270402	0.5	1	0.5
306	0.6460417678	0.5	1	0.5
307	0.6458616599	0.5	1	0.5
308	0.6457783601	0.5	1	0.5
309	0.6457295621	0.5	1	0.5
310	0.6455585477	0.5	1	0.5
311	0.6453816045	0.5	1	0.5
312	0.6452293191	0.5	1	0.5
313	0.6450358426	0.5	1	0.5
314	0.6448838757	0.5	1	0.5
315	0.6447322237	0.5	1	0.5
316	0.6446910855	0.5	1	0.5
317	0.6445446488	0.5	1	0.5
318	0.6444050552	0.5	1	0.5
319	0.6442155582	0.5	1	0.5
320	0.6440322914	0.5	1	0.5
321	0.6439153643	0.5	1	0.5
322	0.6437592233	0.5	1	0.5
323	0.6435853583	0.5	1	0.5
324	0.6435152785	0.5	1	0.5
325	0.6433402817	0.5	1	0.5
326	0.6432003282	0.5	1	0.5
327	0.6431360487	0.5	1	0.5
328	0.6430062719	0.5	1	0.5
329	0.6428424158	0.5	1	0.5
330	0.6426950841	0.5	1	0.5
331	0.6425091802	0.5	1	0.5
332	0.6423410538	0.5	1	0.5
333	0.6421899261	0.5	1	0.5
334	0.642015342	0.5	1	0.5
335	0.6419167447	0.5	1	0.5
336	0.6417497744	0.5	1	0.5
337	0.6415681683	0.5	1	0.5
338	0.6414445225	0.5	1	0.5
339	0.6413447124	0.5	1	0.5
340	0.6412210647	0.5	1	0.5
341	0.6411341112	0.5	1	0.5
342	0.6409557879	0.5	1	0.5
343	0.6408168252	0.5	1	0.5
344	0.6406604751	0.5	1	0.5
345	0.640524056	0.5	1	0.5
346	0.6403618864	0.5	1	0.5
347	0.6401641112	0.5	1	0.5
348	0.6399987745	0.5	1	0.5
349	0.6398389897	0.5	1	0.5
350	0.63968315	0.5	1	0.5
351	0.6395402497	0.5	1	0.5
352	0.6395084599	0.5	1	0.5
353	0.639441369	0.5	1	0.5
354	0.6392354201	0.5	1	0.5
355	0.6390790875	0.5	1	0.5
356	0.638909864	0.5	1	0.5
357	0.6387706048	0.5	1	0.5
358	0.6386246438	0.5	1	0.5
359	0.638503092	0.5	1	0.5
360	0.6383459843	0.5	1	0.5
361	0.6382139002	0.5	1	0.5
362	0.6380415035	0.5	1	0.5
363	0.6379556849	0.5	1	0.5
364	0.6377983399	0.5	1	0.5
365	0.637600455	0.5	1	0.5
366	0.6374240482	0.5	1	0.5
367	0.6372516486	0.5	1	0.5
368	0.6371650758	0.5	1	0.5
369	0.6371173836	0.5	1	0.5
370	0.6369631108	0.5	1	0.5
371	0.6367918318	0.5	1	0.5
372	0.6367453254	0.5	1	0.5
373	0.6366027509	0.5	1	0.5
374	0.6364045805	0.5	1	0.5
375	0.6363960105	0.5	1	0.5
376	0.6362118902	0.5	1	0.5
377	0.6360990918	0.5	1	0.5
378	0.6360031095	0.5	1	0.5
379	0.6358769175	0.5	1	0.5
380	0.635707599	0.5	1	0.5
381	0.6355500036	0.5	1	0.5
382	0.6354081354	0.5	1	0.5
383	0.6353811784	0.5	1	0.5
384	0.6352385215	0.5	1	0.5
385	0.6350725733	0.5	1	0.5
386	0.6349212815	0.5	1	0.5
387	0.6347158739	0.5	1	0.5
388	0.6345256727	0.5	1	0.5
389	0.634429019	0.5	1	0.5
390	0.6342463432	0.5	1	0.5
391	0.6340621533	0.5	1	0.5
392	0.6338622842	0.5	1	0.5
393	0.6337427335	0.5	1	0.5
394	0.6336436044	0.5	1	0.5
395	0.6334714167	0.5	1	0.5
396	0.633295118	0.5	1	0.5
397	0.6331960877	0.5	1	0.5
398	0.6331565066	0.5	1	0.5
399	0.6329762053	0.5	1	0.5
